id,name,sku,categories,fulfillment,source,cost,margin_pct,price,stock_qty,sizes,size_prices,image,description,featured,active
P001,Absolute H2Orange2 112 Concentrate (Case of 2 Half-Gallons),A-112-02H,EnvirOx; Floor Cleaners; New Building Items; Chemicals,Warehouse,EnvirOx,,,133.26,,,,https://s3.amazonaws.com/cart2order/uploads/65/products/2367/1701707851227.png,"EPA-registered concentrate that replaces 95% of your cleaning chemicals. One case makes 512 mop buckets or 2,000+ spray bottles. Cleans, degreases, and sanitizes glass, floors, restrooms, and carpet with hydrogen peroxide and orange oil.",1,1
P002,H2Orange2 Green Spray Bottle w/ Trigger,8-550,EnvirOx,Warehouse,EnvirOx,,,6.00,,,,https://shop.waxie.com/mStorefront/imageContent.do?contentKey=0756fba4-0819-4247-8259-03c4489f8172&size=,"32oz color-coded spray bottle with trigger for light duty H2Orange2 dilution. Green = light duty for glass, mirrors, and everyday surfaces.",1,1
P003,H2Orange2 Red Spray Bottle w/ Trigger,890109,EnvirOx,Warehouse,EnvirOx,,,6.00,,,,https://shop.waxie.com/mStorefront/imageContent.do?contentKey=06750d74-63b3-43a8-b945-586d74894fa7&size=,"32oz color-coded spray bottle with trigger for heavy duty H2Orange2 dilution. Red = heavy duty for restrooms, degreasing, and tough jobs.",1,1
P004,OxiGenesis Disinfectant RTU 32oz,122-06Q,EnvirOx; Chemicals; New Building Items,Warehouse,EnvirOx,,,12.00,,,,https://s3.amazonaws.com/cart2order/uploads/65/products/2371/1701710272232.png,"Ready-to-use disinfectant that requires no PPE. Kills bacteria and viruses in minutes, leaves zero residue, and even works on glass. EPA DfE certified.",1,1
P005,Mineral Shock Hard Water & Scum Remover RTU,138-12Q,EnvirOx; Chemicals; New Building Items,Warehouse,EnvirOx,,,12.00,,,,https://s3.amazonaws.com/cart2order/uploads/65/products/2396/1701968613978.png,"Ready-to-use acid replacement for hard water, rust, lime, soap scum, and urine salts without harsh fumes. Safe on skin, biodegradable, EcoLogo certified.",1,1
P006,"60"" Fiberglass Mop Handle w/ Plastic Grip, Yellow",KL-650151,New Building Items; Mopping,Supplier Order,Brady,,,22.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/2836f3eac1ca0e7_md.jpg,Lightweight fiberglass handle that will not rust or corrode. Standard threaded connection fits most wet mop heads.,0,1
P007,"Microfiber Tube Wet Mop, Green Large (500g)",MD9002,New Building Items; Mopping,Supplier Order,Brady,,,19.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/a10103.jpg,Large microfiber mop that lasts 5x longer than string mops. Washable hundreds of times. Green color for area coding.,0,1
P008,"Microfiber Tube Mop Head, Blue 18oz",KL-652162,New Building Items; Mopping,Supplier Order,Brady,,,22.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/8b4f1e58c1b1f06_md.jpg,"18oz microfiber mop head with 5-inch mesh scrubbing headband. Lint-free, far more absorbent than cotton. Blue for area coding.",0,1
P009,"HYGEN Quick-Connect Mop Handle 58"", Aluminum Yellow",MD3154,New Building Items; Mopping,Supplier Order,Brady,,,13.49,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/md3154.jpg,Lightweight aluminum handle with quick-connect for fast mop head changes. Works with all HYGEN quick-connect heads and frames.,0,1
P010,"HYGEN PULSE Spray Mop Complete System 18""",MD3018,New Building Items; Mopping,Supplier Order,Brady,,,29.49,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/md3018.jpg,Complete bucketless spray mop. Built-in reservoir mops 850 sq ft per fill. Includes 18-inch quick-connect frame and two microfiber pads.,0,1
P011,"18"" Microfiber Mop Pad, Blue",MD2618,New Building Items; Mopping,Supplier Order,Brady,,,18.49,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/md2618.jpg,18-inch microfiber wet mop pad with serged edges that will not unravel. Washable hundreds of times.,0,1
P012,Impact Toilet Cone Mop w/ Plastic Handle,AA9103,New Building Items,Supplier Order,Brady,,,5.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/aa9103.jpg,Bowl mop for toilets and urinals. Squeeze cone removes excess water. Acid-resistant strands reach under the rim.,0,1
P013,ACS #19 Angle Broom w/ Metal Handle,AD0852,New Building Items,Supplier Order,Brady,,,9.49,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/4ae935b99714012_md.jpg,"Angle broom for corners and tight spaces. Flagged bristles trap fine dust. 12-inch angled head, sturdy metal handle.",0,1
P014,"Rubbermaid Heavy-Duty Dust Pan, Charcoal",AH9100,New Building Items,Supplier Order,Brady,,,5.29,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ah9100.png,Commercial-grade dust pan with 12.25-inch tapered opening and extra-large capacity. Will not rust or crack.,0,1
P015,"BRUTE 44 Gallon Trash Container, Black",RA2644,New Building Items,Supplier Order,Brady,,,64.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ra2644.jpg,44-gallon commercial can with venting channels that make full bags 50% easier to pull. Built-in bag clips. Lasts for years.,0,1
P016,"BRUTE Dolly, Black",RB0100,New Building Items,Supplier Order,Brady,,,64.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/rb0100.jpg,Heavy-duty twist-lock dolly for 20 to 55-gallon BRUTE cans. Holds 250 lbs on five non-marking casters.,0,1
P017,"16x16 Microfiber Cloth, Yellow (Qty 12)",KL-770403,New Building Items,Supplier Order,Brady,,,11.99,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/9aa8b8b9a813591_md.jpg,Reusable 16x16 microfiber cloths. Hold 7x their weight in liquid. Yellow for task coding to prevent cross-contamination. Pack of 12.,0,1
P018,"16x16 Microfiber Cloth, Red (Qty 12)",KL-770505,New Building Items,Supplier Order,Brady,,,11.99,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/a327fe7b1aa5d6b_md.jpg,Reusable 16x16 microfiber cloths. Hold 7x their weight in liquid. Red for restroom coding to prevent cross-contamination. Pack of 12.,0,1
P019,"16x16 Microfiber Cloth, Green (Qty 12)",KL-770401,New Building Items,Supplier Order,Brady,,,11.99,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/4bf3d4655fa5b4e_md.jpg,Reusable 16x16 microfiber cloths. Hold 7x their weight in liquid. Green for task coding to prevent cross-contamination. Pack of 12.,0,1
P020,"16x16 Microfiber Cloth, Blue (Qty 12)",KL-770400,New Building Items,Supplier Order,Brady,,,11.99,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/af5e03a4f8f548c_md.jpg,Reusable 16x16 microfiber cloths. Hold 7x their weight in liquid. Blue for task coding to prevent cross-contamination. Pack of 12.,0,1
P021,"Disposable Duster Sleeve, White (Qty 50)",AI9004,New Building Items,Supplier Order,Brady,,,52.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/55-8211.jpg,"Disposable microfiber sleeves for Pro Duster and Lambswool dusters. Trap dust, then toss. Pack of 50.",0,1
P022,"Lambswool Duster w/ Extendable Handle 30-42""",AI0029,New Building Items,Supplier Order,Brady,,,9.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/ai0029.jpg,"Extendable duster for vents, fixtures, and molding. Telescopes 30 to 42 inches. Real lambswool traps dust electrostatically.",0,1
P023,Complete Window Cleaning Kit w/ Extension Pole,2510,New Building Items; Window Cleaning,Supplier Order,Brady,,,157.99,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/2510.jpg,"Professional starter kit: 8-foot pole, three squeegee sizes, microfiber sleeve and T-bar, scraper, and replacement rubber.",0,1
P024,"Wet Floor Sign, English/Spanish",KL-790981,New Building Items,Supplier Order,Brady,,,14.99,,,,https://assets-e518d5c0cd.cdn.insitecloud.net/fe0af37e108fb04_md.jpg,"Folding bilingual caution sign in bright yellow. One-hand open and close, folds flat, integrated carry handle.",0,1
P025,"Nitrile Exam Gloves, Blue (Box of 100)",INDBLN4LG,New Building Items,Supplier Order,Brady,,,7.49,,"Small,Medium,Large",,https://assets-e518d5c0cd.cdn.insitecloud.net/5bc1c7cfb5ec202_md.jpg,"Powder-free 4-mil nitrile gloves. Latex-free, textured fingertips, touchscreen compatible. Box of 100.",0,1
P026,"Safety Glasses, Clear Lens/Black Frame",SD9105,New Building Items,Supplier Order,Brady,,,2.49,,,,https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/images/websites/b2bseller/customer/braind/images/items/sd9105.jpg,Wraparound safety glasses with scratch-resistant polycarbonate lenses and 99.9% UV protection.,0,1
